42,137.80,2.32,0.0,0.0
7.46,137.80,2.32,2.0,2.0
7.63,139.74,2.32,4.01,4.01
6.42,525.87,3.59,1.01,1.01
6.08,549.12,3.59,3.01,3.01
6.04,485.68,3.59,5.02,5.02
6.04,492.24,4.53,7.02,7.02
5.71,568.24,4.53,9.03,9.03
5.63,636.57,5.15,11.03,11.03
6.04,613.11,5.15,13.03,13.03
5.54,685.72,5.15,15.04,15.04
5.38,575.54,5.15,17.04,17.04
5.38,647.23,5.15,19.04,19.04
5.63,677.32,5.15,21.05,21.05
5.71,649.92,5.15,23.05,23.05
5.71,639.22,5.15,25.05,25.05
5.75,647.23,5.15,27.05,27.05
5.54,628.67,5.15,29.06,29.06
5.13,647.23,5.15,31.06,31.06
5.25,660.76,5.15,33.07,33.07
5.08,669.00,5.15,35.07,35.07
5.13,677.32,5.15,37.07,37.07
5.38,705.70,5.15,39.08,0.0
5.17,702.81,5.15,41.08,0.0
5.29,671.76,5.15,43.08,43.08
5.13,699.94,5.15,45.09,45.09
5.33,652.62,5.15,47.09,47.09
5.25,663.50,5.15,49.09,49.09
5.21,732.12,5.15,51.1,0.0
5.29,723.21,5.15,53.1,0.0
5.21,708.59,5.15,55.1,0.0
5.54,680.11,5.15,57.1,57.1
5.21,660.76,5.15,59.11,59.11
5.29,666.24,5.15,61.11,61.11
5.04,677.32,5.15,63.11,63.11
5.00,702.81,5.15,65.12,0.0
4.92,677.32,5.15,67.12,67.12
5.04,708.59,5.15,69.12,0.0
5.21,652.62,5.15,71.13,71.13
5.13,691.38,5.15,73.13,73.13
5.08,655.32,5.15,75.13,75.13
5.25,568.24,5.15,77.13,77.13
5.25,691.38,5.15,79.14,79.14
5.13,602.91,5.15,81.14,81.14
4.92,708.59,5.15,83.14,0.0
4.71,768.71,5.15,85.15,0.0
4.54,682.91,5.15,87.15,87.15
4.92,735.11,5.15,89.15,0.0
5.04,666.24,5.15,91.15,91.15
5.17,680.11,5.15,93.16,93.16
5.21,680.11,5.15,95.16,95.16
5.04,674.53,5.15,97.16,97.16
4.71,694.22,5.15,99.17,99.17
4.75,694.22,5.15,101.17,101.17
4.67,688.55,5.15,103.17,103.17
4.88,680.11,5.15,105.17,105.17
5.08,669.00,5.15,107.18,107.18
